ICES,Depth,Depth.sd,Dominant.Sediment,Habitat.dominance,Temperature,Salinity,Oxygen
37G1,18.00336022,7.057310937,mud,24.16782084,3.156839,18.048631,7.66182491
37G5,23.68557536,13.03373884,sand,35.85221655,3.814808,8.737392,8.212
37G6,16.73101266,10.54004248,sand,38.27015028,2.207857,7.769357,8.99714286
37G9,15.96540541,22.39223575,mud,28.53457941,3.263932,7.912281,7.92738542
38G0,15.85915493,7.798378635,mud,20.09566609,3.747374,20.953334,7.71605339
38G1,7.795053004,7.81033188,sand,22.83195282,3.203477,19.549953,7.38272727
38G2,17.6468059,6.624808257,sand,30.73850563,2.726659,13.291303,8.89557743
38G3,32.89994044,13.75789274,mud,27.11102912,3.255395,14.195814,7.68434756
38G4,31.12340189,12.84039538,sand,20.30996291,3.171659,10.764752,8.20093333
38G5,61.84233983,12.21920702,mud,21.72168841,6.790106,12.539797,3.54294205
38G6,31.4189911,13.76823326,sand,30.89661299,4.161342,9.664519,7.63322711
38G7,20.596875,8.315405921,sand,37.32459874,2.131712,7.61534,9.5153658
38G8,43.93730159,32.14974454,sand,23.06006674,3.998243,8.777089,6.69810979
38G9,70.47344111,33.50075038,mud,33.32355192,6.499004,10.918701,2.97013666
39G0,12.36065574,8.208955794,mud,21.05495073,4.525,26.7,6.88
39G1,10.42599743,6.875362676,mud,18.62425282,5.1875,25.44375,6.795
39G3,34.6642547,11.77683554,mud,22.37971409,4.02916,16.798573,7.03681102
39G4,43.05608755,16.75125831,mud,13.39412075,4.032186,13.99175,7.2173815
39G5,79.49450549,15.02286448,mud,29.32478072,7.14371,16.185454,2.10559977
39G6,62.30222222,16.44597318,hard.clay,19.42032732,5.999742,12.164021,4.46007738
39G7,58.43389831,16.74537078,sand,16.81390327,6.349609,11.827106,3.98779649
39G8,79.34666667,12.93777987,mud,29.71691891,6.328704,11.029831,3.6983447
39G9,87.84111111,11.67177955,mud,33.72608245,6.954767,11.373097,1.28923333
39H0,35.68838527,17.65544201,sand,23.22302495,2.810867,7.453033,8.616
40G0,13.82534247,8.002332693,mud,19.87307917,5.240799,27.743948,7.78478967
40G4,35.3509434,20.09298271,hard.clay,20.76004411,5.064109,11.808766,5.08106311
40G5,56.31111111,15.9850503,hard.clay,22.10528386,4.955123,10.862596,6.20789538
40G6,52.48388889,12.89517175,sand,20.38137942,5.138814,10.8191,5.0025424
40G7,42.08135593,14.53967273,sand,25.17333738,2.618259,7.628659,7.9851
40G8,90.85388889,17.12918208,mud,29.61400042,6.0648,10.843603,1.84443218
40G9,78.44,13.36829232,mud,25.83044385,4.957167,9.126778,5.09888889
40H0,50.20833333,16.6115224,sand,23.07779494,2.995576,7.916742,7.36271212
41G0,14.67332382,7.241171093,mud,24.39164749,6.53,29.6159,6.27777778
41G1,21.77573734,5.399033886,sand,24.08382896,6.643403,31.554239,6.6663474
41G2,22.39671815,8.678138942,mud,25.71939323,7.159606,31.546425,5.65344949
41G7,39.2519774,10.83724129,sand,24.31006233,3.006002,7.613186,7.09112576
41G8,72.56722222,33.70966073,mud,18.53721533,3.724875,8.57668,4.69028704
41G9,101.8388889,28.80986797,mud,30.80666979,6.271879,11.083189,1.88981667
41H0,37.80848688,18.91597579,sand,15.39988171,2.75315,7.8147,7.18433333
42G1,21.4726257,10.92840051,sand,23.71719443,7.01624,33.55597,6.03208333
42G2,26.62575627,11.08378568,mud,25.54742437,6.746426,32.920972,5.9726864
42G6,21.34424084,22.15400832,hard.complex,16.89083588,3.183417,7.73825,6.32041667
42H0,75.66666667,45.64774375,mud,18.89602871,3.804234,8.72549,5.69455045
43G0,12.09871245,9.71610545,sand,26.69185955,5.717253,33.339854,7.09955139
43G1,31.17141197,20.35233878,mud,20.84034283,6.385654,34.046146,6.30838728
43G7,68.85355893,28.94415828,mud,20.19822527,4.589771,9.178603,2.0360404
43G8,27.84210526,23.3422483,sand,18.3091939,3.800396,8.363863,5.0612
43G9,136.7038889,50.6537976,mud,22.75643232,5.455961,10.423751,1.08824459
43H0,124.4816667,68.94437662,mud,26.64966452,5.512271,11.144048,2.15394957
43H1,31.62016413,19.23040839,sand,28.64849125,2.058458,7.446665,8.769875
44G0,65.46754057,46.61737627,mud,31.08888095,6.16255,34.536983,6.83096296
44G1,43.30798479,27.95343304,mud,33.29409365,5.88809,33.824929,6.4946509
44G9,81.60701754,46.05353384,hard.clay,20.93837513,4.069226,8.476065,4.73175
44H1,36.79988263,21.24405564,sand,27.97813173,3.580056,8.079417,6.38
